#id	Family_cod	Family	family_description	family_type	specie
RF01380	HIV-1_SD	Human immunodeficiency virus type 1 major splice donor	Cis-reg;	Eukaryota; Bacteria; Viruses; 	\N
RF01381	HIV-1_SL3	HIV-1 stem-loop 3 Psi packaging signal	Cis-reg;	Eukaryota; Viruses; 	\N
RF01382	HIV-1_SL4	HIV-1 stem-loop 4 packaging signal	Cis-reg;	Eukaryota; Viruses; 	\N
RF01383	GRIK4_3p_UTR	GRIK4 3 prime UTR element	Gene;	Eukaryota; 	\N
RF01384	InvR	Invasion gene-associated RNA	Gene;	Bacteria; 	\N
RF01385	isrA	isrA Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01386	isrB	isrB Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01387	isrC	isrC Hfq binding RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01388	isrD	isrD Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01389	isrF	isrF Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01390	isrG	isrG Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01391	isrH	isrH Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01392	isrI	isrI Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01393	isrJ	isrJ Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01394	isrK	isrK Hfq binding RNA	Gene; sRNA;	Eukaryota; Bacteria; Viruses; 	\N
RF01395	isrL	isrL Hfq binding RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01396	isrN	isrN Hfq binding RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01397	isrO	isrO Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01398	isrP	isrP Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01399	isrQ	isrQ Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01400	istR	istR Hfq binding RNA	Gene; antitoxin;	Eukaryota; Bacteria; 	\N
RF01401	rseX	rseX Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01402	STnc150	STnc150 Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01403	STnc290	STnc290 Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01404	STnc440	STnc440 Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01405	STnc490k	STnc490k Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01406	STnc500	STnc500 Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01407	STnc560	STnc560 Hfq binding RNA	Gene; sRNA;	Bacteria; 	Original sequence was AE014075.1/1805202-1804553. Based upon sequence conservation this was trimmed to AE014075.1/1805101-1804887.
RF01408	sraL	sraL Hfq binding RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01409	STnc250	STnc250 Hfq binding RNA	Gene; sRNA;	Bacteria; 	\N
RF01410	BsrC	BsrC	Gene; sRNA;	Bacteria; 	The 301 nucleotide sequence from Kouji Nakamura has been trimmed to a highly conserved ~85 nucleotide long core to form this family.
RF01411	BsrF	BsrF	Gene; sRNA;	Bacteria; 	\N
RF01412	BsrG	BsrG	Gene; sRNA;	Eukaryota; Bacteria; Viruses; 	\N
RF01413	miR-430	microRNA miR-430	Gene; miRNA;	Eukaryota; 	\N
RF01414	class_I_RNA	Class I RNA	Gene;	Eukaryota; 	\N
RF01415	Flavivirus_SLIV	Flavivirus 3'UTR stem loop IV	Cis-reg;	Viruses; 	\N
RF01416	NrrF	NrrF RNA	Gene; antisense;	Bacteria; 	\N
RF01417	RSV_RNA	Retroviral 3'UTR stability element	Cis-reg;	Eukaryota; Viruses; 	\N
RF01418	HIV_POL-1_SL	HIV pol-1 stem loop	Cis-reg;	Eukaryota; Bacteria; Viruses; 	\N
RF01419	IsrR	Antisense RNA which regulates isiA expression	Gene; antisense;	Eukaryota; Bacteria; 	\N
RF01420	snoR113	Small nucleolar RNA snoR113	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01421	snoR114	small nucleolar RNA snoR114	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01422	snoR116	small nucleolar RNA snoR116	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01423	snoR117	small nucleolar RNA snoR117	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01424	snoR118	small nucleolar RNA snoR118	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01425	snoR121	small nucleolar RNA snoR121	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01426	snoR126	small nucleolar RNA snoR126	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01427	snoR127	small nucleolar RNA snoR127	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01428	snoR128	small nucleolar RNA snoR128	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01429	snoR130	small nucleolar RNA snoR130	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01430	snoR134	small nucleolar RNA snoR134	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01431	snoR135	small nucleolar RNA snoR135	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01432	snoR143	small nucleolar RNA snoR143	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01433	snoR137	small nucleolar RNA snoR137	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01434	S_pombe_snR3	small nucleolar RNA snR3	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01435	S_pombe_snR5	small nucleolar RNA snR5	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01436	S_pombe_snR33	small nucleolar RNA snR33	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01437	S_pombe_snR10	small nucleolar RNA snR10	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01438	S_pombe_snR35	small nucleolar RNA snR35	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01439	S_pombe_snR36	small nucleolar RNA snR36	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01440	S_pombe_snR42	small nucleolar RNA snR42	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01441	S_pombe_snR46	small nulceolar RNA snR46	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01442	S_pombe_snR90	small nucleolar RNA snR90	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01443	S_pombe_snR91	small nucleolar RNA snR91	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01444	S_pombe_snR92	small nucleolar RNA snR92	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01445	S_pombe_snR94	small nucleolar RNA snR94	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01446	S_pombe_snR95	small nucleolar RNA snR95	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01447	S_pombe_snR98	small nucleolar RNA snR98	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01448	S_pombe_snR93	small nucleolar RNA snR93	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01449	S_pombe_snR100	small nucleolar RNA snR100	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01450	S_pombe_snR96	small nucleolar RNA snR96	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01451	S_pombe_snR97	small nucleolar RNA snR97	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01452	S_pombe_snR99	small nucleolar RNA snR99	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01453	RCNMV_TE_DR1	3'TE-DR1 translation enhancer element	Cis-reg;	Viruses; 	\N
RF01454	RCNMV_5UTR	5'UTR enhancer element	Cis-reg;	Viruses; 	\N
RF01455	DPB	Stem loopII regulatory element in POLB	Cis-reg;	Eukaryota; 	\N
RF01456	VrrA	Vibrio regulatory RNA of OmpA	Gene; antisense;	Bacteria; 	\N
RF01457	rli22	Listeria sRNA rli22	Gene; sRNA;	Bacteria; 	\N
RF01458	rli23	Listeria snRNA rli23	Gene; antisense;	Bacteria; 	\N
RF01459	rliE	Listeria sRNA rliE	Gene; sRNA;	Bacteria; 	\N
RF01460	rliH	Listeria sRNA rliH	Gene; sRNA;	Bacteria; 	\N
RF01461	rli24	Listeria sRNA rli22	Gene; sRNA;	Bacteria; 	\N
RF01462	rli26	Listeria sRNA rli26	Gene; sRNA;	Bacteria; 	\N
RF01463	rli27	Listeria sRNA rli27	Gene; sRNA;	Bacteria; 	\N
RF01464	rliA	Listeria sRNA rliA	Gene; sRNA;	Bacteria; 	\N
RF01465	rli31	Listeria sRNA rli31	Gene; sRNA;	Bacteria; 	\N
RF01466	rli34	Listeria sRNA rli34	Gene; sRNA;	Bacteria; Viruses; 	\N
RF01467	rli36	Listeria sRNA rli36	Gene; sRNA;	Bacteria; 	\N
RF01468	rli32	Listeria sRNA rli32	Gene; sRNA;	Bacteria; 	\N
RF01469	rli33	Listeria sRNA rli33	Gene; sRNA;	Bacteria; 	\N
RF01470	rli38	Listeria sRNA rli38	Gene; sRNA;	Bacteria; 	\N
RF01471	rliB	Listeria sRNA rliB	Gene; sRNA;	Bacteria; 	\N
RF01472	rli40	Listeria sRNA rli40	Gene; sRNA;	Bacteria; 	\N
RF01473	rli41	Listeria sRNA rli41	Gene; sRNA;	Bacteria; 	\N
RF01474	rli42	Listeia sRNA rli42	Gene; sRNA;	Bacteria; 	\N
RF01475	rli45	Listeria snRNA rli45	Gene; antisense;	Bacteria; 	\N
RF01476	rliF	Listeria sRNA rliF	Gene; sRNA;	Bacteria; 	\N
RF01477	rli43	Listeria sRNA rli43	Gene; sRNA;	Bacteria; 	\N
RF01478	rli47	Listeria sRNA rli47	Gene; sRNA;	Bacteria; 	\N
RF01479	rli48	Listeria sRNA rli48	Gene; sRNA;	Bacteria; Viruses; 	\N
RF01480	rli52	Listeria sRNA rli52	Cis-reg;	Bacteria; 	\N
RF01481	rli53	Listeria sRNA rli53	Cis-reg;	Bacteria; 	\N
RF01482	AdoCbl_riboswitch	AdoCbl riboswitch	Cis-reg; riboswitch;	Bacteria; 	\N
RF01483	rli56	Listeria sRNA rli56	Cis-reg;	Bacteria; 	\N
RF01484	rli59	Listeria sRNA rli59	Cis-reg;	Bacteria; 	\N
RF01485	rli61	Listeria sRNA rli61	Cis-reg;	Bacteria; 	\N
RF01486	rli62	Listeria sRNA rli62	Cis-reg;	Bacteria; Viruses; 	\N
RF01487	rliI	Listeria sRNA rliI	Gene; sRNA;	Bacteria; 	\N
RF01488	rli49	Listeria sRNA rli49	Gene; sRNA;	Bacteria; 	\N
RF01489	sbrA	Listeria sRNA sbrA	Gene; sRNA;	Bacteria; 	\N
RF01490	rli51	Listeria snRNA rli51	Cis-reg;	Bacteria; 	\N
RF01491	rli54	Listeria sRNA rli54	Cis-reg;	Bacteria; 	\N
RF01492	rli28	Listeria sRNA rli28	Gene; sRNA;	Eukaryota; Bacteria; Viruses; 	\N
RF01493	rli37	Listeria sRNA rli37	Gene; sRNA;	Bacteria; 	\N
RF01494	rliD	Listeria sRNA rliD	Gene; antisense;	Bacteria; 	\N
RF01495	ACAT	Human acetyl-coA cholesterol acyltransferase mRNA	Cis-reg;	Eukaryota; 	\N
RF01496	Afu_182	A. fumigatus sRNA Afu_182	Gene; sRNA;	Eukaryota; 	\N
RF01497	ALIL	ALIL pseudoknot	Cis-reg;	Eukaryota; Bacteria; Viruses; 	\N
RF01498	Afu_190	A. fumigatus snoRNA Afu_190	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01499	Afu_191	A. fumigatus snoRNA Afu_191	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01500	Afu_198	A. fumigatus snoRNA Afu_198	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01501	Afu_199	A. fimigatus snoRNA Afu_199	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01502	Fungi_SRP	Fungal signal recognition particle RNA	Gene;	Eukaryota; 	\N
RF01503	Afu_203	A. fumigatus sRNA Afu_203	Gene; sRNA;	Eukaryota; 	\N
RF01504	Afu_254	A. fumigatus sRNA Afu_254	Gene; sRNA;	Eukaryota; 	\N
RF01505	Afu_264	A. fumigatus snoRNA Afu_264	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01506	Afu_294	A. fumigatus snoRNA Afu_294	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01507	Afu_298	A. fimigatus snoRNA Afu_298	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01508	BYDV_5_UTR	Barley yellow dwarf virus 5'UTR	Cis-reg;	Viruses; 	\N
RF01509	Afu_300	A. fumigatus snoRNA Afu_300	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01510	MFR	M. florum riboswitch	Cis-reg; riboswitch;	Bacteria; 	\N
RF01511	Afu_304	A. fumigatus snoRNA Afu_304	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01512	Afu_309	A. fumigatus sRNA Afu_309	Gene; sRNA;	Eukaryota; 	\N
RF01513	Afu_335	A. fumigatus snoRNA Afu_335	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01514	Afu_513	A. fumigatus snoRNA Afu_513	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01515	Afu_514	A. fumigatus snoRNA Afu_514	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01516	v-snoRNA-1	Human herpesvirus 1 small nucleolar RNA	Gene; snRNA; snoRNA; CD-box;	Eukaryota; Viruses; 	\N
RF01517	iscRS	iscR stability element	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01518	pRNA	NoRC assoicated RNA, pRNA	Gene;	Eukaryota; 	\N
RF01519	CC0196	Cauldobacter sRNA CC0196	Gene; sRNA;	Bacteria; 	\N
RF01520	CC0734	caulobacter sRNA CC0734	Gene; sRNA;	Bacteria; 	\N
RF01521	CC1840	caulobacter sRNA CC1840	Gene; sRNA;	Bacteria; 	\N
RF01522	TB10Cs1H1	Trypanosomatid snoRNA TB10Cs1H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01523	TB10Cs1H2	Trypanosomatid snoRNA TB10Cs1H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01524	TB10Cs1H3	Trypanosomatid snoRNA TB10cs1H3	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01525	TB10Cs2H1	Trypanosomatid snoRNA TB10Cs2H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01526	ceN106	C. elegans snoRNA ceN106	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01527	CrfA	Caulobacter sRNA CrfA	Gene; sRNA;	Bacteria; 	\N
RF01528	CC3513	caulobacter sRNA CC3513	Gene; sRNA;	Bacteria; 	\N
RF01529	CC3552	Cauldobacter sRNA CC3552	Gene; sRNA;	Bacteria; 	\N
RF01530	CC3664	caulobacter sRNA CC3664	Gene; sRNA;	Bacteria; 	\N
RF01531	TB10Cs3H1	Trypanosomatid snoRNA TB10Cs3H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01532	TB10Cs3H2	Trypanosomatid snoRNA TB10Cs3H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01533	TB10Cs4H3	Trypanosomatid snoRNA TB10Cs4H3	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01534	TB10Cs4H4	Trypanosomatid snoRNA TB10Cs4H4	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01535	TB10Cs5H2	Trypanosomatid snoRNA TB10Cs5H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01536	TB10Cs5H3	Trypanosomatid snoRNA TB10Cs5H3	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01537	TB11Cs2H1	Trypanosomatid snoRNA TB11Cs2H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01538	TB11Cs3H1	Trypanosomatid snoRNA TB11Cs3H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01539	TB11Cs4H1	Trypanosomatid snoRNA TB11Cs4H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01540	TB11Cs4H2	Trypanosomatid snoRNA TB11Cs4H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01541	TB11Cs4H3	Trypanosomatid snoRNA TB11Cs4H3	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01542	TB11Cs5H1	Trypanosomatid snoRNA TB11Cs5H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01543	TB11Cs5H2	Trypanosomatid snoRNA TB11Cs5H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01544	TB11Cs5H3	Trypanosomatid snoRNA TB11Cs5H3	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01545	TB3Cs2H1	Trypanosomatid snoRNA TB3Cs2H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01546	TB6Cs1H1	Trypanosomatid snoRNA TB6Cs1H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01547	TB6Cs1H3	Trypanosomatid snoRNA TB6Cs1H3	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01548	TB6Cs1H4	Trypanosomatid snoRNA TB6Cs1H4	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01549	TB8Cs2H1	Trypanosomatid snoRNA TB8Cs2H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01550	TB8Cs3H1	Trypanosomatid snoRNA TB8Cs3H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01551	TB8Cs4H2	Trypanosomatid snoRNA TB8Cs4H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01552	TB9Cs1H2	Trypanosomatid snoRNA TB9Cs1H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01553	TB9Cs1H3	Trypanosomatid snoRNA TB9Cs1H3	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01554	TB9Cs2H1	Trypanosomatid snoRNA TB9Cs2H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01555	TB9Cs3H1	Trypanosomatid snoRNA TB9Cs3H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01556	TB9Cs3H2	Trypanosomatid snoRNA TB9Cs3H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01557	TB9Cs4H1	Trypanosomatid snoRNA TB9Cs4H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01558	TB9Cs4H2	Trypanosomatid snoRNA TB9Cs4H2	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01559	DdR1	Dictyostelium snoRNA DdR1	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01560	DdR10	Dictyostelium snoRNA DdR10	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01561	DdR11	Dictyostelium snoRNA DdR11	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01562	DdR12	D. discoideum snoRNA DdR12	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01563	DdR13	Dictyostelium snoRNA DdR13	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01564	DdR14	D. discoideum snoRNA DdR14	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01565	DdR15	Dictyostelium snoRNA DdR15	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01566	DdR16	Dictyostelium snoRNA DdR16	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01567	DdR17	D. discoideum snoRNA DdR17	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01568	DdR18	Dictyostelium snoRNA DdR18	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01569	DdR2	Dictyostelium snoRNA DdR2	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01570	Dictyostelium_SRP	Dictyostelium signal recognition particle	Gene; snRNA;	Eukaryota; 	\N
RF01571	DdR35	D. discoideum class II sRNA	Gene; sRNA;	Eukaryota; 	\N
RF01572	DdR4	Dictyostelium snoRNA DdR4	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01573	DdR5	Dictyostelium snoRNA DdR5	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01574	DdR6	Dictyostelium snoRNA DdR6	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01575	DdR7	Dictyostelium snoRNA Dd7	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01576	DdR8	D. discoideum snoRNA DdR8	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01577	RNase_P	Plasmodium RNase_P	Gene; ribozyme;	Eukaryota; 	\N
RF01578	RUF1	Plasmodium RNA of unkown function RUF1	Gene; sRNA;	Eukaryota; 	\N
RF01579	RUF2	Plasmodium RNA of unknown function RUF2	Gene; sRNA;	Eukaryota; 	\N
RF01580	RUF3	Plasmodium RNA of unkown function RU6-F3	Gene; sRNA;	Eukaryota; 	\N
RF01581	RUF6-5	Plasmodium RNA of unknown function RUF6-5	Gene; sRNA;	Eukaryota; 	\N
RF01582	RUF4	RNA of unknown function RUF4	Gene; sRNA;	Eukaryota; 	\N
RF01583	snoR01	small nucleolar RNA snoR01	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01584	snoR03	small nucleolar RNA snoR03	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01585	snoR07	small nucleolar RNA snoR07	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01586	snoR09	small nucleolar RNA snoR09	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01587	snoR10	small nucleolar RNA snoR10	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01588	snoR13	small nucleolar RNA snoR13	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01589	plasmodium_snoR11	small nucleolar RNA snoR11	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01590	plasmodium_snoR14	small nucleolar RNA snoR14	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01591	snoR15	small nucleolar RNA snoR15	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01592	plasmodium_snoR17	small nucleolar RNA snoR17	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01593	plasmodium_snoR16	small nucleolar RNA snoR16	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01594	snoR18	small nucleolar RNA snoR18	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01595	snoR19	small nucleolar RNA snoR19	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01596	plasmodium_snoR20	small nucleolar RNA snoR20	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01597	snoR22	small nucleolar RNA snoR22	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01598	snoR23	small nucleolar RNA snoR23	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01599	plasmodium_snoR24	small nucleolar RNA snoR24	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01600	snoR25	small nucleolar RNA snoR25	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01601	plasmodium_snoR26	small nucleolar RNA snoR26	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01602	plasmodium_snoR27	small nucleolar RNA snoR27	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01603	snoR29	small nucleolar RNA snoR29	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01604	plasmodium_snoR28	small nucleolar RNA snoR28	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01605	plasmodium_snoR30	small nucleolar RNA snoR30	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01606	plasmodium_snoR31	small nucleolar RNA snoR31	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01607	ceN100	C. elegans snoRNA ceN100	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01608	ceN102	Caenorhabditis snoRNA ceN80	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01609	ceN103	Caenorhabditis snoRNA ceN103	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01610	ceN104	Caenorhabditis snoRNA ceN104	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01611	ceN108	Caenorhabditis snoRNA ceN108	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01612	ceN105	Nematode snoRNA ceN105	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01613	ceN109	Nematode snoRNA ceN109	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01614	ceN110	Caenorhabditis snoRNA ceN110	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01615	ceN111	Nematode snoRNA ceN111	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01617	ceN113	Caenorhabditis snoRNA ceN113	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01618	ceN114	Nematode snoRNA ceN114	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01619	ceN115	C. elegans sRNA ceN115	Gene; sRNA;	Eukaryota; 	\N
RF01620	ceN125	Nematode snoRNA ceN125	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01621	ceN126	Caenorhabditis snoRNA ceN126	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01622	ceN22	Nematode snoRNA ceN22	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01623	ceN23-1	Caenorhabditis sRNA ceN23-1	Gene; sRNA;	Eukaryota; 	\N
RF01624	ceN27	Nematode snoRNA ceN27	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01625	ceN28	Caenorhabditis snoRNA ceN28	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01626	ceN30	Caenorhabditis snoRNA ceN30	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01627	ceN36-1	Nematode snoRNA ceN36-1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01628	ceN38	Caenorhabditis snoRNA ceN38	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01629	ceN39	Nematode snoRNA ceN39	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01630	ceN40	Nematode snoRNA ceN40	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
